symbol,ex,volume
ETH/USDT,Gate.io,255028633.0
ETH/USDT,Huobi Global,1361028420.0
ETH/USDT,KuCoin,424328692.0
FTM/BNB,Binance,11878317.0
FTM/BTC,Binance,143516756.0
FTM/BUSD,Binance,139908543.0
FTM/USDT,Binance,1087603813.0
LINK/BTC,Binance,30362427.0
LINK/BUSD,Binance,20776176.0
LINK/ETH,Binance,7213960.0
LINK/EUR,Coinbase Exchange,7311407.0
LINK/USD,Binance.US,10677916.0
LINK/USD,Coinbase Exchange,87124176.0
LINK/USD,FTX,28320649.0
LINK/USD,FTX US,8070398.0
LINK/USD,Kraken,11713208.0
LINK/USDT,Binance,167812270.0
LINK/USDT,FTX,20147622.0
LINK/USDT,Gate.io,19832793.0
LINK/USDT,Huobi Global,54317882.0
LINK/USDT,KuCoin,10763022.0
LTC/BTC,Binance,37944805.0
LTC/BTC,Coinbase Exchange,13154122.0
LTC/BUSD,Binance,21195092.0
LTC/KRW,Bithumb,27484266.0
LTC/USD,Bitfinex,26473010.0
LTC/USD,Coinbase Exchange,94365740.0
LTC/USD,FTX,60142273.0
LTC/USD,FTX US,16341317.0
LTC/USDT,Binance,160059428.0
LTC/USDT,FTX,45510529.0
LTC/USDT,FTX US,12814141.0
LTC/USDT,Gate.io,24489150.0
LTC/USDT,Huobi Global,85865354.0
LTC/USDT,KuCoin,16513623.0
LUNA/BNB,Binance,12698266.0
LUNA/BTC,Binance,73918640.0
LUNA/BTC,Huobi Global,38667129.0
LUNA/BTC,KuCoin,24202292.0
LUNA/BUSD,Binance,164572874.0
LUNA/EUR,Binance,24774138.0
LUNA/HT,Huobi Global,22378299.0
LUNA/USD,Bitfinex,72943834.0
LUNA/USDT,Binance,315005397.0
LUNA/USDT,Gate.io,82963581.0
LUNA/USDT,Huobi Global,123286888.0
LUNA/USDT,KuCoin,185509851.0
LUNA/UST,Bitfinex,45770442.0
RAD/BUSD,Binance,125120299.0
RAD/USDC,Uniswap (V2),32376960.0
SHIB/BUSD,Binance,2452981753.0
SHIB/BUSD,Binance.US,176848676.0
SHIB/EUR,Binance,289063089.0
SHIB/TRY,Binance,558498096.0
SHIB/USD,Coinbase Exchange,2263029751.0
SHIB/USDT,Binance,11820509713.0
SHIB/USDT,Binance.US,348720814.0
SHIB/USDT,Coinbase Exchange,272499114.0
SHIB/USDT,Gate.io,495295164.0
SHIB/USDT,Huobi Global,2965004072.0
SHIB/USDT,KuCoin,518584369.0
SHIB/WETH,Uniswap (V2),138030960.0
SLP/BUSD,Binance,83473162.0
SOL/BNB,Binance,7594427.0
SOL/BTC,Binance,111368368.0
SOL/BTC,Coinbase Exchange,21912921.0
SOL/BUSD,Binance,265292639.0
SOL/EUR,Coinbase Exchange,21053671.0
SOL/TRY,Binance,29678544.0
SOL/USD,Binance.US,64369217.0
SOL/USD,Bitfinex,27624288.0
SOL/USD,Coinbase Exchange,277461684.0
SOL/USD,FTX,150728766.0
SOL/USD,FTX US,16423727.0
SOL/USDT,Binance,525883948.0
SOL/USDT,FTX,38916628.0
SOL/USDT,Gate.io,15096427.0
SOL/USDT,Huobi Global,64666533.0
SOL/USDT,KuCoin,31979160.0
UNI/BNB,Binance,2924310.0
UNI/BTC,Binance,9598097.0
UNI/BTC,Coinbase Exchange,4787840.0
UNI/BUSD,Binance,5981045.0
UNI/KRW,Bithumb,28945241.0
UNI/USD,Binance.US,5310596.0
UNI/USD,Bitfinex,2860395.0
UNI/USD,Coinbase Exchange,25626005.0
UNI/USD,FTX,6313650.0
UNI/USDT,Binance,55958492.0
UNI/USDT,Binance.US,2965757.0
UNI/USDT,FTX,2770184.0
UNI/USDT,Gate.io,8859676.0
UNI/USDT,Huobi Global,39918228.0
UNI/USDT,KuCoin,2982362.0
USDC/BUSD,Binance,136110479.0
USDC/EUR,Coinbase Exchange,37631285.0
USDC/EUR,Kraken,12109947.0
USDC/USD,Kraken,22714392.0
USDC/USDT,Binance,199687097.0
USDC/WETH,Uniswap (V2),40198255.0
USDT/USDC,Coinbase Exchange,12914106.0
WBTC/BADGER,Uniswap (V2),2409546.0
WBTC/BTC,Binance,24165903.0
WBTC/BTC,Coinbase Exchange,3356385.0
WBTC/BTC,FTX,11087747.0
WBTC/BTC,Huobi Global,275224.0
WBTC/BTC,KuCoin,705148.0
WBTC/ETH,Binance,2541567.0
WBTC/EUR,Kraken,67567.0
WBTC/USD,Coinbase Exchange,734415.0
WBTC/USD,FTX,3458531.0
WBTC/USD,Kraken,137852.0
WBTC/USDC,Uniswap (V2),147627.0
WBTC/WETH,Uniswap (V2),5192359.0
XBT/EUR,Kraken,159793217.0
XBT/USD,Kraken,188879135.0
XRP/BTC,Binance,43093416.0
XRP/BTC,Huobi Global,8428167.0
XRP/BUSD,Binance,46460111.0
XRP/EUR,Bitstamp,10923189.0
XRP/EUR,Kraken,9928767.0
XRP/KRW,Bithumb,82697977.0
XRP/TRY,Binance,9896935.0
XRP/USD,Bitfinex,9852696.0
XRP/USD,Bitstamp,20585984.0
XRP/USD,FTX,39714176.0
XRP/USDT,Binance,450194634.0
XRP/USDT,Gate.io,61235020.0
XRP/USDT,Huobi Global,117153899.0
XRP/USDT,KuCoin,68999637.0
